Platform,Country,Revenue Actual €m,Revenue Variance €m,EBITDA Actual €m,EBITDA Variance €m,Rate,Revenue Actual €m,Revenue Variance €m,EBITDA Actual €m,EBITDA Variance €m,EBITDA Margin,Period
Norfin,PT,5.000117332841984,0.4997509936353451,1.2002715168876725,0,1.150573,5.753,0.575,1.381,0,0.24,2026-Q1
Restart,PT,1.0003711194335343,0.2998505961812071,0.5997011923624141,0.2998505961812071,1.150573,1.151,0.345,0.69,0.345,0.6,2026-Q1
Whitestar PT,PT,6.700139843365001,0.6996513910894833,2.099823305431294,0.5997011923624141,1.150573,7.709,0.805,2.416,0.69,0.313,2026-Q1
Nexor,PT,0,0,0,0,1.150573,0,0,0,0,0,2026-Q1
Details,PT,2.299723702885432,-0.09995019872706903,-1.3002217156147415,-0.09995019872706903,1.150573,2.646,-0.115,-1.496,-0.115,-0.565,2026-Q1
From Advisory,PT,0.39980079490827614,-0.19990039745413807,-0.4997509936353451,-0.09995019872706903,1.150573,0.46,-0.23,-0.575,-0.115,-1.25,2026-Q1
Maslow PT,PT,0,0,0,0.09995019872706903,1.150573,0,0,0,0.115,0,2026-Q1
EI,IT,4.299596809589657,1.8999229079771556,0.39980079490827614,1.7000225105230176,1.150573,4.947,2.186,0.46,1.956,0,2026-Q1
Sagitta,IT,1.6000723117959486,0,0.19990039745413807,0.09995019872706903,1.150573,1.841,0,0.23,0.115,0.125,2026-Q1
Zenith,IT,7.399791234454484,7.399791234454484,1.9998731067042248,1.9998731067042248,1.150573,8.514,8.514,2.301,2.301,0.27,2026-Q1
Eagle Street & BCC,UK,1.2002715168876725,-0.19990039745413807,0.39980079490827614,-0.19990039745413807,1.150573,1.381,-0.23,0.46,-0.23,0.333,2026-Q1
23 Capital,UK,0,0,-0.19990039745413807,0.09995019872706903,1.150573,0,0,-0.23,0.115,0,2026-Q1
Maslow,UK/ES/IE,7.199890837000347,-3.4999952197731043,2.7003936299565523,-2.800343828683621,1.150573,8.284,-4.027,3.107,-3.222,0.375,2026-Q1
Drydens - APS,UK,12.699759163477676,-0.19990039745413807,5.39991812775026,0.4997509936353451,1.150573,14.612,-0.23,6.213,0.575,0.425,2026-Q2
Drydens,UK,2.399673901612501,-0.09995019872706903,0.6996513910894833,-0.09995019872706903,1.150573,2.761,-0.115,0.805,-0.115,0.292,2026-Q3
Mars Ireland,IRE,8.100311757706812,0.5997011923624141,-0.7996015898165523,1.0003711194335343,1.150573,9.32,0.69,-0.92,1.151,-0.099,2026-Q4
Amitra,ESP,2.099823305431294,0,0.5997011923624141,0.19990039745413807,1.150573,2.416,0,0.69,0.23,0.286,2026-Q5
Interboden,GER,1.4001719143418105,-0.6996513910894833,-0.4997509936353451,0.7996015898165523,1.150573,1.611,-0.805,-0.575,0.92,-0.357,2026-Q6
Vesting,NL,7.299841035727415,-0.39980079490827614,0.09995019872706903,-0.2998505961812071,1.150573,8.399,-0.46,0.115,-0.345,0.014,2026-Q7
Non-platform: Central,-,1.7999727092500868,2.099823305431294,-0.39980079490827614,1.3002217156147415,1.150573,2.071,2.416,-0.46,1.496,-0.222,2026-Q8
Non-platform: AGGFM,-,13.400279686730002,1.9998731067042248,11.099686851681728,1.8999229079771556,1.150573,15.418,2.301,12.771,2.186,0.828,2026-Q9
